text,label,Pattern Category
FLASH SALE | LIMITED TIME ONLY Shop Now,Dark,Urgency
Pillowcases & Shams,Not Dark,Not Dark Pattern
Write a review,Not Dark,Not Dark Pattern
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",Not Dark,Not Dark Pattern
 newsletter signup (privacy policy) ,Not Dark,Not Dark Pattern
In demand,Dark,Scarcity
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",Not Dark,Not Dark Pattern
Hurry! Only 2 left in stock,Dark,Scarcity
In Stock only 3 left,Dark,Scarcity
International Shipping Policy,Not Dark,Not Dark Pattern
"Clothes, Shoes & Accessories",Not Dark,Not Dark Pattern
Hurry! Only 2 left,Dark,Scarcity
Primary Arms Scopes,Not Dark,Not Dark Pattern
ONLY 8 LEFT,Dark,Scarcity
MoTrail,Not Dark,Not Dark Pattern
LCD Ribbon Cables,Not Dark,Not Dark Pattern
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,Not Dark,Not Dark Pattern
OUR BEST SELLING GOGGLE,Dark,Misdirection
"1,142 people have added to cart recently",Dark,Social Proof
Limited Availability,Dark,Scarcity
No thanks. I don't like free things...,Dark,Misdirection
 read you will want to read -- Five Book Group Favourites * Sunday Post *,Not Dark,Not Dark Pattern
 Supply & Demand ,Not Dark,Not Dark Pattern
"Michael in Pontiac, United States purchased a  ",Dark,Social Proof
Bathroom Lighting,Not Dark,Not Dark Pattern
 Shop Optics > ,Not Dark,Not Dark Pattern
9 people are viewing this.,Dark,Social Proof
"894 Claimed! Hurry, only a few left!",Dark,Scarcity
77 PEOPLE LIKE THIS,Dark,Social Proof
Girls Trousers,Not Dark,Not Dark Pattern
Specs,Not Dark,Not Dark Pattern
4 items left,Dark,Scarcity
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Dark,Urgency
Offer ends in,Dark,Urgency
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Dark,Social Proof
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Dark,Social Proof
More Info,Not Dark,Not Dark Pattern
Daystate FAC Air Rifles,Not Dark,Not Dark Pattern
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as â€œMâ€ (menus), â€œHâ€ (headings), â€œFâ€ (forms), â€œBâ€ (buttons), and â€œGâ€ (graphics) to jump to specific elements.",Not Dark,Not Dark Pattern
24 sold in last 24 hours.,Dark,Social Proof
 #CERTIFIED_FACE_MASKS ,Not Dark,Not Dark Pattern
Shop the Look,Not Dark,Not Dark Pattern
Kicks Remotes,Not Dark,Not Dark Pattern
Only 7 left in stock.,Dark,Scarcity
Whey Protein Isolate,Not Dark,Not Dark Pattern
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Not Dark,Not Dark Pattern
Product Info,Not Dark,Not Dark Pattern
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Dark,Social Proof
 Sign In With Google ,Not Dark,Not Dark Pattern
Shop All,Not Dark,Not Dark Pattern
 You can change your preference here Shop for Select an age ,Not Dark,Not Dark Pattern
1 in Stock,Dark,Scarcity
 shop all ,Not Dark,Not Dark Pattern
Low Stock Alert: Only 8 left in inventory,Dark,Scarcity
Womens Platform Shoes,Not Dark,Not Dark Pattern
Screen print graphics,Not Dark,Not Dark Pattern
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Dark,Social Proof
Thin and tough - protects from minor scratches,Not Dark,Not Dark Pattern
Kimberly R.,Not Dark,Not Dark Pattern
I don't feel lucky,Dark,Misdirection
Only 3 items left,Dark,Scarcity
 Butterscotch Cakes ,Not Dark,Not Dark Pattern
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Dark,Social Proof
Awntech New Yorker Window/Entry Slope Awnin ...,Not Dark,Not Dark Pattern
45 ADDED TO BAG IN THE PAST 24 HOURS,Dark,Social Proof
87% offers claimed. Hurry up!,Dark,Scarcity
HURRY! Â£32.99 UK DELIVERY ENDS SOON,Dark,Urgency
ONLY 3 LEFT,Dark,Scarcity
8 items left,Dark,Scarcity
19 people viewed this product per day,Dark,Social Proof
 Irwin ,Not Dark,Not Dark Pattern
96 ITEM(S) LEFT IN STOCK!,Dark,Scarcity
__________,Not Dark,Not Dark Pattern
